Country,Year,Non_com_diseases,Com_diseases,Injuries 
World,1991,26825621,15392200,4260493
World,1992,27320761,15347765,4408404
World,1993,27860673,15299968,4337272
World,1994,28566644,15215097,4459508
World,1995,29061519,15121980,5012098
World,1996,29407049,15132654,4543803
World,1997,29633678,15023497,4519964
World,1998,29962869,14997472,4550324
World,1999,30305320,14968533,4560555
World,2000,30733064,14901086,4649332
World,2001,31138228,14835531,4568246
World,2002,31489616,14700244,4472468
World,2003,32015383,14549450,4441300
World,2004,32507899,14309220,4437039
World,2005,32595351,14091476,4640096
World,2006,33015795,13906587,4500881
World,2007,33066605,13639053,4400732
World,2008,33463025,13359681,4384314
World,2009,34181502,13087345,4634715
World,2010,34835485,12811210,4425399
World,2011,35592216,12528020,4718076
World,2012,36216224,12190072,4487698
World,2013,36830374,11809711,4462361
World,2014,37359965,11461544,4452354
World,2015,38257659,11170782,4507679
World,2016,39452999,10882449,4486745
World,2017,40403545,10600709,4505297
World,2018,41071133,10389874,4484722
