Entity,Code,Year,Meningitis (deaths),Lower respiratory infections (deaths),Protein-energy malnutrition (deaths),Terrorism ,Cardiovascular,Dementia (deaths),Kidney disease (deaths),Respiratory diseases (deaths),Liver diseases (deaths),Digestive diseases (deaths),Hepatitis (deaths),Cancers,Parkinson disease (deaths),Fire (deaths),Malaria (deaths),Drowning (deaths),Homicide (deaths),HIV/AIDS (deaths),Drug use disorders (deaths),Tuberculosis (deaths),Road injuries (deaths),Maternal disorders (deaths),Neonatal disorders (deaths),Alcohol use disorders (deaths),Natural disasters (deaths),Diarrheal diseases (deaths),Heat (hot and cold exposure) (deaths),Nutritional deficiencies (deaths),Suicide (deaths),Conflict (deaths),Diabetes (deaths),Poisonings (deaths)
Afghanistan,AFG,2018,6588.6683,21431.16382,1369.742538,6092,56119,2893.171202,3895.213013,6917.373453,2242.992423,5168.969128,940.5628843,16670,456.1882451,484.7974049,1220.600546,2002.65898,3506.614204,302.1668803,346.3390094,3634.060664,8692.31421,4095.49132,27521.74124,125.474868,155.0000002,6176.201212,153.3830193,1440.662274,1725.624776,1662.000127,5978.46172,365.394197
Albania,ALB,2018,18.6068501,381.6531384,3.257634344,0,12145,1337.440187,362.5371589,736.0292906,308.7977297,489.4959306,2.959034238,4345,233.6188292,16.79734384,0,37.61861772,68.84653829,1.285799649,22.98895296,11.9869955,247.5352916,3.475718967,183.6850631,15.46536791,1,6.939838661,10.52808311,4.458937676,161.9774263,0,135.0015294,11.3839997
Algeria,DZA,2018,379.6145239,4723.762257,80.51706599,12,79389,8175.242117,4577.022553,5508.419832,2935.124513,4800.227615,312.7043322,21656,1139.958076,735.9572634,6.015983289,509.2925145,438.6671632,326.6607421,1010.678862,417.069297,6905.410229,630.191116,6511.279864,130.3324841,0,377.2447091,50.09391055,97.70408901,1698.665146,134.9999963,5201.53533,366.6456031
American Samoa,ASM,2018,0.731540869,13.79903253,1.468605097,,100,8.453716128,23.52139661,16.87516912,5.888122843,11.91401,0.064913568,59,1.36823443,0.513866998,0,3.805962042,2.901451866,0.335762774,0.426503032,0.376900628,4.278351246,1.2083368,4.608329998,0.344535622,0,1.180292681,1.142969432,1.572362092,3.481450967,0,33.24537783,0.40785145
Andorra,AND,2018,0.256891355,30.98006831,0.135491019,,171,56.32111446,5.788669295,32.68121893,10.08008154,27.44157723,0.117097294,172,6.788084471,0.77831235,0,0.440135265,0.561617311,0.441990168,2.138703061,0.357183817,3.734439886,0.031862768,0.436309277,1.870977453,0,1.097464061,0.377334522,0.205361846,8.186095378,0,5.269972049,0.207765989
Angola,AGO,2018,3231.569615,14508.40499,4432.241559,7,21785,1649.393457,2809.242811,3750.627243,5294.233192,8274.165559,411.5164154,12040,240.1714147,711.4833542,8431.057006,2005.294815,889.7432779,14584.70243,167.0730605,11409.41753,6781.226022,2126.952851,17881.91365,246.9949576,11,17390.30088,141.4610568,4515.796896,1745.994646,55.99999981,3558.147037,285.4323965
Antigua and Barbuda,ATG,2018,0.949083141,32.54382881,2.232636813,,187,26.92069753,25.98840979,11.78372488,11.16969354,20.66403486,0.191596082,120,4.747350952,1.794245585,0,4.397953897,4.753643697,7.509006684,0.912519678,0.367873081,6.68631456,0.640170667,5.107089762,6.573077373,1.000000003,1.40323103,0.459664126,2.298385118,2.625974889,0,45.48250342,0.446067041
Argentina,ARG,2018,494.948379,31058.14225,983.6076194,0,105777,18616.81649,10834.30019,18992.48386,7346.319944,14905.83791,178.4050935,74066,2917.513863,756.3700341,0,709.8346017,2733.485868,1719.217843,797.9120485,679.3484973,6457.318523,378.8405192,3600.109017,857.0902859,1,651.446992,101.2001803,1075.354199,5024.770844,0,9345.109432,357.7439358
Armenia,ARM,2018,8.618483468,500.8640669,1.26850961,,13631,1357.246658,429.6167292,1310.628476,1107.319912,1719.854038,5.791550036,5756,179.9751146,36.88679336,0,47.95518606,111.7408934,23.72882174,41.99240541,76.60469956,241.8676396,9.133618874,140.9516571,58.15277042,0,13.21036324,45.74390466,3.53042953,301.6836575,0,1142.020098,20.88507661
Australia,AUS,2018,56.79848679,4451.177815,95.20546335,4,52101,17118.89265,4455.439414,10821.96096,2186.75221,6111.539373,108.0516684,50254,2328.239022,162.1439762,0,215.4724555,327.4005126,76.57992115,1222.502214,88.6593353,1660.79976,14.76422387,540.1201487,604.1123435,12,187.5236862,69.13429692,121.4347157,3055.189141,0,3755.066653,53.20807028
Austria,AUT,2018,32.33297609,961.0659346,1.506607039,2,31386,7480.6789,2753.507453,3383.093447,1860.129117,3227.180637,5.640052935,21745,994.2299584,87.65897803,0,66.08162799,68.68394288,37.9689139,178.3891227,51.25939003,481.3169285,3.707086565,127.9845396,489.4101076,0,98.11754096,62.69004782,8.687967546,1422.042336,0,2059.22513,31.75966512
Azerbaijan,AZE,2018,100.6376646,3054.883143,28.5389384,5,40266,2481.946941,1169.188538,2339.510525,3140.757843,3940.292211,50.01115725,10954,359.280256,393.2037174,0,307.5074392,374.0546487,31.5164108,69.24162394,690.8299692,645.0270194,44.91398286,2274.307121,346.0992578,0,192.4562887,112.094231,38.09391292,431.4535599,0,1751.599207,90.28771601
Bahamas,BHS,2018,4.092309443,104.9211209,2.986048936,,801,92.4764485,92.72784412,52.02802404,53.71765949,103.6192651,0.994581454,530,16.02486842,8.927890574,0,25.82246878,107.4618611,114.2315846,4.468331484,7.403474901,60.08596127,4.902142687,24.99447171,20.89282109,0,3.807444405,2.366882191,4.140431429,12.86224875,0,127.5619624,1.134465705
Bahrain,BHR,2018,3.610300147,95.06374965,2.620578386,6,961,109.6817931,133.014209,113.8823171,84.43386701,142.5144009,4.694253479,553,16.72460882,10.39073112,0,9.648096358,20.97552686,11.52718933,11.57939548,9.030209049,128.1787335,3.824589508,53.5963685,9.274140286,0,9.06304842,2.072239936,3.043424207,72.97107928,10.99999876,528.8163021,2.291613912
Bangladesh,BGD,2018,1340.182938,38521.32307,3972.552408,25,320563,17256.21584,16783.33314,82276.07378,26389.93369,44992.49671,3196.761396,99302,3387.812395,1671.315613,3274.378222,14029.00959,2463.196247,627.0408593,3215.583416,13161.66675,11798.25318,4709.848038,53448.75927,257.743805,163,30146.92476,69.62866324,4961.691805,9342.544842,118.9999996,34563.72552,525.5919186
Barbados,BRB,2018,3.814878776,182.9654494,4.616663708,,840,170.827999,89.55666065,63.18491355,38.69436506,93.86331159,1.14306533,677,24.89910152,5.153452621,0,11.30741092,32.16382527,24.97983191,1.825355697,1.708982277,30.58368645,2.280178575,17.9508406,7.467189282,0,4.04406848,0.625966498,6.058163224,14.89547665,0,242.1545809,0.706225651
Belarus,BLR,2018,51.04335043,1174.547706,13.46330021,,73014,6549.900874,485.3196939,2064.896894,2533.233487,4498.17205,21.28184873,18558,698.832438,623.1415832,0,630.0952335,648.2304718,303.909019,403.820456,344.7097902,990.0392868,12.18393788,244.8348954,2802.557074,0,13.8612515,641.8315037,45.31263457,2356.965789,0,357.5211861,302.9020604
Belgium,BEL,2018,47.62160314,5669.182269,207.4418903,2,32194,10550.33212,2096.754168,6804.251844,2004.398686,5111.162188,38.9361991,30782,1228.373604,181.5385862,0,93.13147056,151.5963198,61.88555773,275.7258466,90.16591266,1035.352648,7.995616639,180.2750138,515.6600377,0,697.4278575,86.22138329,269.5527988,2131.892838,0,1436.396061,42.90394361
Belize,BLZ,2018,3.069912829,110.5187745,9.979938046,,424,64.99725976,84.49918078,68.63947644,57.16757417,92.12998631,1.102300908,277,11.02664037,4.249363994,0.23176654,25.68107691,106.0044717,81.15377153,2.16766053,13.5371299,72.26008535,5.004422825,67.45491341,11.44364541,0,11.43052147,0.913294362,11.16891327,27.93869647,0,125.5472647,2.25060699
Benin,BEN,2018,1716.150379,7564.605384,1321.510311,,9221,1160.266099,1291.579249,1982.73152,1269.499835,2629.044306,201.0977529,5434,183.9190854,259.7314514,9432.990549,420.3490346,578.3539708,1809.785445,97.86705952,2889.759848,3092.978012,1133.480353,9626.957471,129.361324,0,6383.252122,116.5962061,1375.010804,693.7123106,12.99999994,1216.139939,109.6341252
Bermuda,BMU,2018,0.317070163,16.74332921,0.242415198,,185,41.52427088,16.27157005,15.90007795,6.985588986,17.22419501,0.030698119,158,6.028101524,0.246997301,0,2.156150811,1.995971784,6.847355344,1.530679693,0.078708648,6.642767107,0.101284903,1.211773712,1.020807896,0,0.42147764,0.168121763,0.34276115,3.124459023,0,20.28080096,0.156138912
Bhutan,BTN,2018,19.54369811,179.7310625,4.956438338,,1156,124.7719788,135.9427566,446.3038852,156.9009459,254.8409337,20.15741937,488,21.7340935,9.832589368,18.28355249,23.16802987,9.638658609,81.33974884,4.354534916,65.26009022,70.33809502,28.51316252,204.6555813,12.69305642,0,132.467027,2.1895458,8.60022146,49.03321707,0,120.6677859,2.688765481
